ID	Property Type	Nombre de chambres	Nombre de salles de bain	Prix	Emplacement	Date de construction	Date de vente
1	apartment	4	1	692351	Marseille	2017-05-24	2019-06-23
2	villa	1	2	662557	Paris	2010-08-25	2022-06-26
3	house	4	2	300419	Marseille	2011-08-19	2019-08-30
4	house	2	2	624968	Paris	2011-10-13	2014-06-25
5	apartment	2	1	607189	Lyon	2011-06-30	2016-04-19
6	apartment	1	1	292906	Paris	2010-06-22	2015-11-27
7	villa	4	2	699274	Marseille	2015-09-14	2017-05-12
8	house	4	2	780286	Lyon	2019-03-07	2020-11-27
9	villa	4	1	542412	Marseille	2010-03-08	2015-01-07
10	villa	3	1	436160	Paris	2017-05-29	2022-10-16
11	apartment	4	2	648125	Marseille	2010-07-24	2016-05-06
12	apartment	1	2	460374	Marseille	2015-05-19	2021-11-24
13	apartment	4	2	917199	Paris	2012-08-17	2021-07-09
14	villa	2	1	162557	Marseille	2012-10-23	2013-09-09
15	apartment	2	2	465030	Marseille	2014-10-22	2022-09-20
16	villa	4	1	247181	Lyon	2010-09-26	2012-05-16
17	house	4	2	754588	Marseille	2015-03-22	2020-07-07
18	villa	3	2	426317	Marseille	2014-02-16	2015-12-27
19	apartment	1	1	579112	Paris	2017-06-22	2021-06-18
20	villa	1	2	941085	Marseille	2015-03-09	2016-12-09
21	villa	2	1	344839	Paris	2016-01-30	2016-03-29
22	villa	3	1	873188	Lyon	2011-05-03	2020-03-08
23	apartment	2	1	689210	Marseille	2011-06-06	2021-06-11
24	villa	2	2	326729	Marseille	2013-01-03	2019-10-07
25	apartment	1	2	625873	Paris	2019-04-24	2019-08-21
26	apartment	4	1	442151	Paris	2013-04-29	2014-08-15
27	villa	3	2	808990	Paris	2014-08-26	2016-01-19
28	house	3	1	429385	Marseille	2011-02-08	2014-02-08
29	apartment	2	2	769422	Marseille	2016-01-30	2021-10-19
30	apartment	1	2	954861	Marseille	2011-10-29	2014-12-16
31	house	1	2	406017	Paris	2016-07-01	2019-04-02
32	apartment	3	2	272478	Paris	2014-01-02	2015-06-10
33	house	1	2	448797	Marseille	2021-12-15	2022-08-12
34	apartment	3	1	560626	Lyon	2011-02-21	2017-03-10
35	house	4	1	590359	Marseille	2013-09-29	2014-07-30
36	apartment	3	1	621443	Lyon	2010-05-06	2014-06-02
37	apartment	4	2	469980	Lyon	2011-08-31	2012-04-12
38	house	3	2	507135	Paris	2021-03-13	2021-05-06
39	villa	2	1	587414	Marseille	2014-02-09	2015-07-16
40	villa	1	2	962879	Marseille	2017-05-25	2022-07-11
41	house	1	2	510288	Marseille	2011-04-27	2013-04-23
42	villa	1	1	115093	Marseille	2012-06-15	2017-06-04
43	villa	2	1	772396	Marseille	2017-07-17	2021-02-15
44	villa	3	1	105878	Marseille	2015-05-24	2016-07-27
45	apartment	4	1	596971	Paris	2014-10-09	2020-04-18
46	villa	3	1	901672	Marseille	2013-03-26	2015-10-22
47	apartment	4	2	570120	Marseille	2018-09-18	2021-06-20
48	villa	4	2	762648	Lyon	2014-09-14	2018-09-28
49	villa	2	1	288882	Lyon	2015-02-15	2017-09-08
50	apartment	4	1	248101	Marseille	2020-07-12	2022-04-22
51	house	3	2	939488	Paris	2013-12-10	2017-12-18
52	apartment	4	1	799824	Lyon	2016-07-26	2018-12-24
53	apartment	3	1	934043	Paris	2010-08-17	2014-04-29
54	house	3	1	219006	Lyon	2014-07-29	2020-07-12
55	apartment	1	2	446708	Paris	2015-12-14	2021-05-20
56	apartment	2	1	684883	Paris	2012-07-16	2021-02-03
57	villa	4	1	177703	Paris	2014-10-28	2022-06-04
58	villa	1	1	480582	Paris	2014-09-14	2020-01-18
59	house	4	2	218515	Marseille	2014-11-15	2014-12-26
60	villa	3	2	123931	Paris	2017-08-04	2021-09-05
61	house	2	2	519573	Marseille	2013-01-27	2017-08-07
62	villa	1	2	195400	Lyon	2014-02-12	2020-11-28
63	apartment	4	2	191259	Paris	2015-09-08	2021-04-25
64	villa	4	1	886992	Paris	2020-08-23	2020-10-22
65	house	4	2	235200	Lyon	2017-01-10	2021-02-23
66	house	4	1	136652	Lyon	2018-07-14	2021-12-20
67	villa	3	1	682257	Paris	2012-10-17	2013-11-21
68	apartment	2	2	864741	Lyon	2016-01-29	2019-10-02
69	apartment	1	1	153270	Marseille	2017-05-07	2019-10-13
70	apartment	4	2	811134	Paris	2010-06-05	2018-03-14
71	villa	4	1	710023	Paris	2011-09-02	2020-12-11
72	house	3	1	532492	Lyon	2011-10-11	2015-02-04
73	apartment	4	2	653696	Lyon	2014-07-14	2018-05-07
74	house	1	2	422484	Marseille	2013-02-22	2016-11-14
75	villa	3	2	370983	Marseille	2016-08-05	2017-08-30
76	apartment	1	2	598701	Marseille	2014-05-14	2019-09-15
77	villa	3	1	420523	Lyon	2013-08-31	2014-05-26
78	villa	2	1	707333	Lyon	2013-11-05	2019-03-07
79	villa	2	1	867866	Marseille	2011-03-04	2022-05-30
80	apartment	3	1	922999	Lyon	2014-07-07	2019-01-13
81	villa	2	2	610150	Marseille	2016-10-16	2017-07-04
82	apartment	2	1	142739	Marseille	2012-09-07	2014-10-15
83	villa	1	1	573252	Paris	2010-01-05	2014-11-26
84	villa	4	1	424205	Marseille	2014-12-12	2019-08-27
85	apartment	4	2	957030	Lyon	2012-07-17	2021-03-21
86	house	1	1	837299	Lyon	2012-02-22	2017-09-11
87	villa	1	1	630127	Paris	2013-02-06	2015-07-02
88	house	3	2	394492	Marseille	2010-11-25	2014-04-06
89	villa	3	2	125479	Marseille	2015-07-12	2018-12-02
90	apartment	1	2	900820	Lyon	2013-05-10	2018-12-30
91	apartment	1	1	743342	Paris	2016-06-05	2018-05-29
92	villa	3	1	576720	Lyon	2021-01-15	2021-12-26
93	house	3	2	436110	Marseille	2012-07-08	2014-09-27
94	villa	3	2	919086	Marseille	2017-07-04	2020-02-13
95	apartment	3	2	595015	Marseille	2011-05-29	2022-03-09
96	apartment	2	2	566739	Lyon	2012-03-22	2021-06-05
97	apartment	1	2	942845	Lyon	2016-07-29	2022-03-05
98	apartment	3	1	738089	Marseille	2012-02-18	2016-09-28
99	villa	4	1	465684	Paris	2012-04-10	2020-08-09
100	villa	3	2	484378	Lyon	2016-07-02	2021-05-01
